Felavatták Schwajda György szobrát a Nemzeti Színház előtt
2015.04.29.

            Orbán Viktor beszéde Schwajda György szobrának avatásán.
        



	Mélyen tisztelt Schwajda Család!
	 
	Tisztelettel köszöntöm az alkotót, és tisztelettel köszöntöm az egybegyűlteket.
	 
	Tisztelt Hölgyeim és Uraim!

	Itt, a Nemzeti Színház szoborparkjában a magyar színjátszás legnagyobb alakjai láthatóak. A mai napon Schwajda Györgynek, a színházépítőnek a szobrával bővül ez a társulat. Színházi és egyben történelmi szerep az övé, neki köszönhető, hogy 165 év után a nemzet színháza végre egy hozzá méltó épületben lelt otthonra, amelyet erre a célra szántak, és ezért is építettek. Mindaddig csupán vendég volt, akinek gyakorta olyan épületekben kellett meghúznia magát, amelyek a legkevésbé sem emlékeztettek arra a színházra, amelyet még Széchenyi István álmodott a Duna partjára. Az, ami több mint másfél évszázad alatt történt, kezdetben melodramatikus, az utóbbi évtizedekben inkább tragikus, groteszk majd abszurd volt. Pedig mi sem magától értetődőbb, mint az, hogy annak a nemzetnek, amely 1848. március 15-én is egy színházi előadással ünnepelte frissen kivívott szabadságát, legyen egy reprezentatív színháza. Egy színház, amely a magyar kultúrát, a magyar nép színházról alkotott gondolkodását hirdeti itthon és a világban egyaránt. Egy színház, amely egy olyan épületben székel, amelyre büszkék lehetünk és otthon érezhetjük magunkat benne. A történtek szerint ez mégsem volt annyira magától értetődő. Hiába a rendszerváltás, a Nemzeti Színház ügye gödörbe jutott. Ekkor azonban új nemzedék lépett az államgépezet kormánykerekéhez, és új rendezőt bízott meg a feladattal: őt, akit azóta is a Színházépítőnek nevezünk, és akinek a szobra ezentúl itt fog őrködni a megvalósított mű mellett.

	Az értelmes emberek tudják, a szolgálat, amit Magyarországért, a magyar kultúráért végeznek, ritkán szerez nekik barátokat, de annál gyakrabban ellenségeket. Schwajda György pontosan tudta, hogy 1837 óta ki mennyit kapott azért, mert fel akarta építeni a nemzet színházát. Schwajda György talán a legtöbbet tette a magyar színházért az elmúlt évtizedekben színpadi szerzőként, dramaturgként, színházigazgatóként, színház- és társulatépítőként és nem utolsósorban, tisztelt Hölgyeim és Uraim, gazdasági szakemberként, ezen a téren is különleges újításai voltak. Öntörvényű, karakán ember volt, aki nem ismerte a félelmet, és legtöbbször a nehezebb utat választotta. Mindig konokul és teljes erőbedobással dolgozott, és minden naggyá lett a keze alatt, lett légyen az egy színpadi mű vagy egy társulat. Azok, akikkel együtt dolgozott, és nekem megadatott, hogy közöttük lehettem, rajongtak érte. Megismerhették azt a csupa szív embert, aki a mindig komoly, gondterhelt, szigorú arc mögé rejtőzve küzdött a magyar színházért. Sértettségnek, keserűségnek sosem adott hangot, inkább véghezvitte azt, amit elvállalt, és amire a magyarok oly sokáig vártak: felépítette a Nemzeti Színházat; mind az épületet, mind pedig a névhez és az otthonhoz méltó társulatot. Schwajda György sorsa a hazaszerető, építő magyar személyiségé, azé a magyaré, aki a saját útját járja, mert tudja, az idő őt fogja igazolni. A színház, melyet épített, itt magaslik és ragyog. Belaktuk, szeretjük, büszkén járunk ide, dicsekszünk vele: a miénk.
	 
	Schwajda György nevét abba a vaskos könyvbe írták be a magyarok, amelyben azok emlékét őrzik, akikre hálásan fogunk emlékezni, amíg lesz magyar nyelvet beszélő ember a világon. Köszönjük, Schwajda György!
	 

miniszterelnok.hu
